Id,SalePrice
2658,143400.08785456597
2718,148046.38466943926
2414,202520.01135000493
1989,120807.643223549
625,189678.30784222708
333,77002.22872019013
1327,106173.26278362237
858,126507.18432907568
95,182975.59563249745
1568,181765.18997332017
2482,161927.1153665793
1364,139213.81940148736
2584,161311.64854837046
818,291765.72182791383
2673,175263.99974915
2089,140015.9107659835
1297,140008.05682536322
790,112396.1939867819
2616,225525.12496500346
720,192852.37465966953
222,147391.49235819152
557,106555.61648580235
1148,190271.10232448627
2766,182077.44207236133
534,187239.85016125205
1452,119978.5855737204
630,107265.47044697568
2648,117447.35395326777
125,144405.93003281372
1904,26320.700674681342
1670,97508.52825222611
756,79901.36486256082
717,284849.6995431325
1032,164025.23730541836
852,218206.65134950043
1731,174088.9975367918
2639,129271.18895257916
2071,67152.98539328075
1267,96813.68082760417
1851,185750.74121944435
567,145545.099919051
2439,207358.53254487427
1898,155490.15634293284
647,149443.08979023344
2256,224342.4602355245
979,94026.87499986311
1444,223768.65256142066
2485,126397.25472374822
157,136394.87085560264
88,125459.03098217068
2003,107413.00811704758
186,214739.0963308207
1425,260224.02522727213
2695,126629.50532841953
738,98345.58069345144
395,162331.2438792515
1353,165153.78656381514
1878,141613.14479264352
390,178766.98170046404
1456,241649.61377702787
1103,345138.79545127833
1387,109859.82543360657
2070,162977.73489052494
1199,170528.51742477057
2479,173084.0696705631
501,319092.4652340979
2362,93873.88306526258
1718,209237.7683255692
2188,99229.6066389187
1483,167864.8566212091
2557,78036.93400294759
437,322911.58246930235
2224,211675.93675912297
1628,160491.37887309937
397,137583.37410213877
587,195295.08170852
2182,548377.8637157704
971,154257.58115241764
2611,156197.39572551462
1887,79542.91617808024
2399,362060.8413763993
2148,204309.0826443905
304,129109.01392745829
1997,129664.49996187622
2817,103845.98223238635
1431,172676.85467282924
427,312808.80214873224
263,112806.35146435893
598,170225.04603127248
2895,247507.89273221212
687,142918.89223501398
1822,137066.3215580122
2191,107035.22157408656
179,128790.77339940089
1009,206306.2222305738
2010,127148.19832316294
1991,151632.42363972668
1411,180176.09427822288
1721,221060.41074367653
1144,191187.5684027744
593,224402.2926463586
575,279913.8182681672
